log_id,settlement_id,month,participant_id,operation_type,operator,operated_at,description,details
log_c59b5f8adb1d,setl_145ad3164eb7,2024-12,D4c5a81,发起重算,核算员,2026-06-13T21:03:12.937285,发起重新核算，原最终积分30.0→新最终积分36.0,申诉更正后需重算
log_86f2a9a39c27,setl_145ad3164eb7,2024-12,D4c5a81,差异标记,管理员,2026-06-13T21:03:12.893470,因记录rec_41f871050354申诉通过更正，系统自动标记为有差异待处理,
log_913fc716a887,setl_36753386e315,2024-11,D11affc,保留原结果,核算主管,2026-06-13T21:03:12.446004,确认保留原结算结果，最终积分维持：30.0,差异不影响原结算有效性
log_af5f3321faed,setl_36753386e315,2024-11,D11affc,差异标记,管理员,2026-06-13T21:03:12.344341,因记录rec_03ce7b5c7374申诉通过更正，系统自动标记为有差异待处理,
log_8521bd3e697a,setl_78931aad1674,2024-10,Ddaeda0,确认覆盖,核算主管,2026-06-13T21:03:11.790763,确认覆盖结算结果，最终积分：45.0，版本升至v2,确认使用重算后的结果
log_563881f64928,setl_78931aad1674,2024-10,Ddaeda0,发起重算,核算员,2026-06-13T21:03:11.751341,发起重新核算，原最终积分30.0→新最终积分45.0,申诉更正
log_861fe2710666,setl_78931aad1674,2024-10,Ddaeda0,差异标记,管理员,2026-06-13T21:03:11.694451,因记录rec_fdda1d0a57ef申诉通过更正，系统自动标记为有差异待处理,
log_1e60f5b6202b,setl_b2d311e1b392,2024-09,D544ca9,发起重算,核算员,2026-06-13T21:03:11.285987,发起重新核算，原最终积分30.0→新最终积分36.0,申诉更正后需要重算
log_404fe0c4d1ac,setl_b2d311e1b392,2024-09,D544ca9,差异标记,管理员,2026-06-13T21:03:11.180279,因记录rec_3d9ee582e16b申诉通过更正，系统自动标记为有差异待处理,
log_5e1640bfd053,setl_a6f9835cab76,2024-08,D66a78c,差异标记,管理员,2026-06-13T21:03:10.648205,因记录rec_d6c600e31e86申诉通过更正，系统自动标记为有差异待处理,
log_20666762fe4e,setl_de23d0754f6a,2024-07,D4e8dc1,差异标记,管理员,2026-06-13T21:03:10.179399,因记录rec_93374d915927作废处理，系统自动标记为有差异待处理,
log_8ae0f47886e9,setl_609155c8f035,2024-06,Db9f38a,差异标记,复核员,2026-06-13T21:03:09.810566,因记录rec_d0f9da51bcdd复核操作，系统自动标记为有差异待处理,
log_8e38de2a1d5f,setl_d85448a1ff83,2025-04,D24fc63,发起重算,核算员D,2026-06-13T21:02:02.859581,发起重新核算，原最终积分84.0→新最终积分60.0,作废记录后需要确认
log_e82fbff30247,setl_d85448a1ff83,2025-04,D24fc63,差异标记,管理员,2026-06-13T21:02:02.766615,因记录rec_5ef4ae6efbc3作废处理，系统自动标记为有差异待处理,
log_cc36111b46b6,setl_d85448a1ff83,2025-04,D24fc63,确认覆盖,核算主管C,2026-06-13T21:02:02.680307,确认覆盖结算结果，最终积分：84.0，版本升至v2,经审核确认使用重算结果
log_da92fa4614c5,setl_d85448a1ff83,2025-04,D24fc63,发起重算,核算员B,2026-06-13T21:02:02.637451,发起重新核算，原最终积分64.0→新最终积分84.0,申诉更正导致积分变化
log_0d63c795c219,setl_d85448a1ff83,2025-04,D24fc63,差异标记,管理员,2026-06-13T21:02:02.501703,因记录rec_b61076966d8f申诉通过更正，系统自动标记为有差异待处理,
log_53ee9f058be8,setl_30f86df27a7b,2025-01,D3968c9,确认覆盖,核算主管,2026-06-13T21:02:01.564956,确认覆盖结算结果，最终积分：69.0，版本升至v2,确认重算
log_c7091f43cfc7,setl_30f86df27a7b,2025-01,D3968c9,发起重算,核算员,2026-06-13T21:02:01.526572,发起重新核算，原最终积分54.0→新最终积分69.0,申诉更正
log_8bcd2d68ce77,setl_30f86df27a7b,2025-01,D3968c9,差异标记,管理员,2026-06-13T21:02:01.476910,因记录rec_815b8d04a777申诉通过更正，系统自动标记为有差异待处理,
log_2b87106b0b75,setl_43d18d467a4b,2024-12,Da55bb2,确认覆盖,核算主管,2026-06-13T21:02:00.980103,确认覆盖结算结果，最终积分：36.0，版本升至v2,确认重算结果
log_0597503da61d,setl_43d18d467a4b,2024-12,Da55bb2,发起重算,核算员,2026-06-13T21:02:00.932502,发起重新核算，原最终积分30.0→新最终积分36.0,申诉更正后需重算
log_3eef53024e4f,setl_43d18d467a4b,2024-12,Da55bb2,差异标记,管理员,2026-06-13T21:02:00.853733,因记录rec_2f051f23da0b申诉通过更正，系统自动标记为有差异待处理,
log_9a81d78d683c,setl_266cdd72f160,2024-11,Dd0f877,保留原结果,核算主管,2026-06-13T21:02:00.398326,确认保留原结算结果，最终积分维持：30.0,差异不影响原结算有效性
log_6714a995851e,setl_266cdd72f160,2024-11,Dd0f877,差异标记,管理员,2026-06-13T21:02:00.308592,因记录rec_ec0ce85481af申诉通过更正，系统自动标记为有差异待处理,
log_867dec3204b9,setl_ed3c09f5d305,2024-10,D752204,确认覆盖,核算主管,2026-06-13T21:01:59.885186,确认覆盖结算结果，最终积分：45.0，版本升至v2,确认使用重算后的结果
log_42705edd35e9,setl_ed3c09f5d305,2024-10,D752204,发起重算,核算员,2026-06-13T21:01:59.847640,发起重新核算，原最终积分30.0→新最终积分45.0,申诉更正
log_e7d5e8ddc416,setl_ed3c09f5d305,2024-10,D752204,差异标记,管理员,2026-06-13T21:01:59.789088,因记录rec_3bce5e8a7e10申诉通过更正，系统自动标记为有差异待处理,
log_e438dd8c9c69,setl_a9ce7ab900d0,2024-09,D94bd26,发起重算,核算员,2026-06-13T21:01:59.404406,发起重新核算，原最终积分30.0→新最终积分36.0,申诉更正后需要重算
log_9e4d715085b3,setl_a9ce7ab900d0,2024-09,D94bd26,差异标记,管理员,2026-06-13T21:01:59.298325,因记录rec_c96d4c47767f申诉通过更正，系统自动标记为有差异待处理,
log_8fe26f403d7a,setl_6b71655bfc0a,2024-08,De926c9,差异标记,管理员,2026-06-13T21:01:58.813345,因记录rec_8814afc01ce1申诉通过更正，系统自动标记为有差异待处理,
log_d527f7c2a45b,setl_8ad46e026e66,2024-07,D76eee2,差异标记,管理员,2026-06-13T21:01:58.392270,因记录rec_4cfbd561737a作废处理，系统自动标记为有差异待处理,
log_b3bfddfc28bf,setl_15e2bb4fa1fd,2024-06,D744a13,差异标记,复核员,2026-06-13T21:01:58.019625,因记录rec_7abf446cfbae复核操作，系统自动标记为有差异待处理,
log_cec5b020573b,setl_083cd59d102a,2024-06,P003,差异标记,复核员老李,2026-06-13T21:03:57.331170,因记录rec_abeb4197ec5f复核操作，系统自动标记为有差异待处理,
