project_id,project_name,description,created_at,is_active
proj_4549bff51de4,汇总基准测试,,2026-06-13T18:19:25.886905,true
proj_2ab9bcc2c49d,多次申诉测试,,2026-06-13T18:21:22.120587,true
proj_e646ea3cb218,核算类型测试,,2026-06-13T18:21:22.646763,true
proj_e6ef57fdd056,汇总基准测试,,2026-06-13T18:21:23.099661,true
proj_d4e9c093748c,姓名变更测试,,2026-06-13T18:21:23.728889,true
proj_509d88724807,对账单测试项目,,2026-06-13T18:21:53.275186,true
proj_0653615ce914,对账单测试项目,,2026-06-13T18:23:27.786916,true
proj_da1e3cb84944,申诉对账测试项目,,2026-06-13T18:23:28.211093,true
proj_e619d97653d1,驳回申诉对账测试,,2026-06-13T18:23:28.757310,true
proj_c25a39fb37a3,多人对账测试项目,,2026-06-13T18:23:29.238389,true
proj_c48b8f6cea80,未核算对账测试,,2026-06-13T18:23:29.806487,true
proj_e4a139b2278c,多次申诉测试,,2026-06-13T19:00:31.029382,true
proj_957180d6b4cf,多次申诉测试,,2026-06-13T19:00:57.974844,true
proj_190ba32b4831,核算类型测试,,2026-06-13T19:00:58.778870,true
proj_a0918b724e7c,汇总基准测试,,2026-06-13T19:00:59.012842,true
proj_ce26deb5a917,姓名变更测试,,2026-06-13T19:00:59.416415,true
proj_5cc8791713e0,多次申诉测试,,2026-06-13T19:09:36.858687,true
proj_83739e71b7b1,核算类型测试,,2026-06-13T19:09:37.364854,true
proj_770f25f5e1f4,汇总基准测试,,2026-06-13T19:09:37.624770,true
proj_51249f52fd66,姓名变更测试,,2026-06-13T19:09:37.960336,true
proj_0cd78427007a,差异追踪项目T1,,2026-06-13T20:52:03.578206,true
proj_b9422f286847,对账单测试项目,,2026-06-13T20:53:01.578679,true
proj_94418c2aef48,申诉对账测试项目,,2026-06-13T20:53:02.100920,true
proj_e71b90e233bb,驳回申诉对账测试,,2026-06-13T20:53:02.412493,true
proj_4a52c0b6385c,多人对账测试项目,,2026-06-13T20:53:02.711619,true
proj_e0198e503e76,未核算对账测试,,2026-06-13T20:53:03.206954,true
proj_749220c99b3c,差异追踪项目T1,,2026-06-13T21:01:57.470758,true
proj_3e454f89ad5c,差异追踪项目T2,,2026-06-13T21:01:58.105703,true
proj_443899a549bc,差异追踪项目T3,,2026-06-13T21:01:58.465938,true
proj_2be3452bbde6,差异追踪项目T4,,2026-06-13T21:01:58.899153,true
proj_42c1911b0098,差异追踪项目T5,,2026-06-13T21:01:59.445250,true
proj_83c5f7b6092c,差异追踪项目T6,,2026-06-13T21:01:59.941111,true
proj_b1c733610bd4,差异追踪项目T7,,2026-06-13T21:02:00.454861,true
proj_40a439aef83a,差异追踪项目T8,,2026-06-13T21:02:01.040450,true
proj_d8c258d0de2a,差异追踪项目T9,,2026-06-13T21:02:01.683093,true
proj_b6d416952018,差异追踪项目T10,,2026-06-13T21:02:01.937029,true
proj_9e0ead39e9af,差异追踪项目T12,,2026-06-13T21:02:02.130124,true
proj_f799db096e2a,差异追踪项目T1,,2026-06-13T21:03:09.188856,true
proj_f163a22b4916,差异追踪项目T2,,2026-06-13T21:03:09.876679,true
proj_3948de1b44d3,差异追踪项目T3,,2026-06-13T21:03:10.257393,true
proj_887ac7cc0313,差异追踪项目T4,,2026-06-13T21:03:10.739673,true
proj_d45b85bc7e71,差异追踪项目T5,,2026-06-13T21:03:11.326275,true
proj_153c90584cc2,差异追踪项目T6,,2026-06-13T21:03:11.836215,true
proj_99fb8a569657,差异追踪项目T7,,2026-06-13T21:03:12.497566,true
proj_f15953f7890f,差异追踪项目T8,,2026-06-13T21:03:13.044649,true
proj_6ed77086ba22,差异追踪项目T9,,2026-06-13T21:03:13.725309,true
proj_67f3b16794ca,差异追踪项目T10,,2026-06-13T21:03:14.008026,true
proj_33fcff968c38,差异追踪项目T12,,2026-06-13T21:03:14.223640,true
proj_77d9503007d9,差异追踪项目T13,,2026-06-13T21:03:15.114273,true
proj_a5b60737ea26,差异追踪项目T14,,2026-06-13T21:03:15.601036,true
proj_d89a09d9f357,对账单测试项目,,2026-06-13T21:03:40.706792,true
proj_0994be8096c2,申诉对账测试项目,,2026-06-13T21:03:41.582493,true
proj_baadde4e0b16,驳回申诉对账测试,,2026-06-13T21:03:42.037877,true
proj_ba5ebb95b4cc,多人对账测试项目,,2026-06-13T21:03:42.769625,true
proj_aefd23a57556,未核算对账测试,,2026-06-13T21:03:43.691163,true
proj_7fee423a3672,多次申诉测试,,2026-06-13T21:03:47.233933,true
proj_1b506cb70aa7,核算类型测试,,2026-06-13T21:03:47.967854,true
proj_e71b45f3ab2a,汇总基准测试,,2026-06-13T21:03:48.359408,true
proj_c8891b635a9f,姓名变更测试,,2026-06-13T21:03:48.947174,true
proj_dca2cbb61525,社区环境整治,测试项目,2026-06-13T21:03:56.762487,true
